tweet_id,favourite_count,retweet_count
877736472329191424,81450,19908
877611172832227328,0,82
877556246731214848,23188,3973
877316821321428993,27835,5377
877201837425926144,27661,5829
876838120628539392,21069,3493
876537666061221889,23789,4775
876484053909872640,19086,2499
876120275196170240,28392,4872
875747767867523072,25710,4478
875144289856114688,22346,5114
875097192612077568,27915,6303
875021211251597312,25948,4895
874680097055178752,28371,4825
874434818259525634,0,15442
874296783580663808,26563,4284
874057562936811520,23061,4107
874012996292530176,35406,10926
873697596434513921,0,12435
873580283840344065,24757,4110
873337748698140672,0,1656
873213775632977920,7435,1656
872967104147763200,27918,5632
872820683541237760,15006,3858
872668790621863937,0,31
872620804844003328,21254,3871
872486979161796608,41474,9365
872261713294495745,34982,6606
872122724285648897,35224,8493
871879754684805121,38995,11810
871762521631449091,20716,3641
871515927908634625,20687,3608
871166179821445120,0,5956
871102520638267392,21403,5729
871032628920680449,23174,3972
870804317367881728,33689,6348
870726314365509632,120,3
870656317836468226,12767,2798
870374049280663552,84753,27502
870308999962521604,22375,4355
870063196459192321,37660,8787
869772420881756160,43546,10580
869702957897576449,29014,6680
869596645499047938,16431,3300
869227993411051520,21052,4004
868880397819494401,54897,12435
868639477480148993,0,2219
868622495443632128,28165,6234
868552278524837888,10485,2219
867900495410671616,24905,4410
867774946302451713,35055,7740
867421006826221569,16683,2673
867072653475098625,0,134
867051520902168576,33289,8367
866816280283807744,0,32705
866720684873056260,20805,5139
866686824827068416,20002,3707
866450705531457537,106481,32705
866334964761202691,54493,15442
866094527597207552,0,8882
865718153858494464,26528,5975
865359393868664832,27416,5351
865006731092295680,28978,8162
864873206498414592,33537,9320
864279568663928832,15134,3251
864197398364647424,31314,9552
863907417377173506,21390,4419
863553081350529029,15875,4464
863471782782697472,0,2664
863432100342583297,24734,5627
863427515083354112,2349,105
863079547188785154,9068,1188
863062471531167744,8911,2664
862831371563274240,19946,5421
862722525377298433,17722,3782
862457590147678208,21405,5342
862096992088072192,77714,24997
861383897657036800,37599,11456
861288531465048066,17961,4465
861005113778896900,17460,4093
860981674716409858,0,2317
860924035999428608,0,879
860563773140209665,7841,2317
860524505164394496,24590,5664
860276583193509888,19081,3724
860184849394610176,17429,6277
860177593139703809,0,33231
859924526012018688,19962,4320
859851578198683649,16044,3762
859607811541651456,19391,1695
859196978902773760,94035,32589
859074603037188101,35446,14658
858860390427611136,0,8762
858843525470990336,16242,3746
858471635011153920,22528,5243
858107933456039936,16459,3140
857989990357356544,16883,2790
857746408056729600,35902,11452
857393404942143489,6213,1772
857263160327368704,20956,4903
857214891891077121,242,20
857062103051644929,0,182
857029823797047296,19838,4342
856602993587888130,0,11580
856543823941562368,17075,3113
856526610513747968,12412,2053
856330835276025856,0,729
856288084350160898,540,17
856282028240666624,29007,6818
855862651834028034,354,28
855860136149123072,4687,1092
855857698524602368,12449,2299
855851453814013952,47679,19118
855818117272018944,27952,5905
855459453768019968,31563,8946
855245323840757760,0,6521
855138241867124737,0,50
854732716440526848,24116,6657
854482394044301312,30979,7546
854365224396361728,19954,5123
854120357044912130,33792,8245
854010172552949760,17120,3419
853760880890318849,30306,6350
853639147608842240,37042,11198
853299958564483072,16456,3913
852936405516943360,0,2226
852912242202992640,9610,2024
852672615818899456,15869,2371
852553447878664193,17419,3858
852311364735569921,35201,10906
852226086759018497,21318,7530
852189679701164033,12176,1733
851953902622658560,0,10647
851861385021730816,0,23
851591660324737024,17240,3808
851464819735769094,25855,7803
851224888060895234,22011,6315
850753642995093505,33213,10285
850380195714523136,13946,2894
850333567704068097,3631,365
850145622816686080,17454,4224
850019790995546112,21874,5429
849776966551130114,32267,8366
849668094696017920,0,5490
849412302885593088,16978,3461
849336543269576704,12196,2088
849051919805034497,32482,7337
848690551926992896,26990,4795
848324959059550208,20143,4012
848213670039564288,8799,825
848212111729840128,17545,3421
847978865427394560,0,3634
847971574464610304,0,479
847962785489326080,25198,5700
847842811428974592,5910,1513
847617282490613760,7523,462
847606175596138505,20130,3756
847251039262605312,21935,4773
847157206088847362,21492,6528
847116187444137987,23028,3564
846874817362120707,21597,4381
846514051647705089,48198,12992
846505985330044928,15250,3468
846153765933735936,34263,10154
846139713627017216,33099,10908
846042936437604353,17192,3206
845812042753855489,31600,9815
845677943972139009,27040,5333
845459076796616705,0,14970
845397057150107648,8215,2056
845306882940190720,25123,6013
845098359547420673,0,8595
844979544864018432,14678,2891
844973813909606400,16307,3597
844704788403113984,41876,11580
844580511645339650,17787,3516
844223788422217728,14700,2437
843981021012017153,16275,3268
843856843873095681,23113,5200
843604394117681152,18234,3066
843235543001513987,23218,6809
842892208864923648,0,56373
842846295480000512,16380,4008
842765311967449089,7292,1435
842535590457499648,19561,3921
842163532590374912,26494,6521
842115215311396866,15145,3363
841833993020538882,0,17399
841680585030541313,27739,8703
841439858740625411,13703,4138
841320156043304961,21340,6056
841314665196081154,17224,5283
841077006473256960,24841,5956
840761248237133825,0,1960
840728873075638272,0,18176
840698636975636481,195,3
840696689258311684,13323,1108
840632337062862849,9722,1960
840370681858686976,17859,5117
840268004936019968,20863,6460
839990271299457024,14575,2579
839549326359670784,29844,8762
839290600511926273,0,159
839239871831150596,29552,7375
838952994649550848,21237,4479
838921590096166913,12135,2341
838916489579200512,0,37
838831947270979586,0,12544
838561493054533637,11849,1494
838476387338051585,24569,5452
838201503651401729,0,11466
838150277551247360,1819,366
838085839343206401,150,0
838083903487373313,19124,3557
837820167694528512,37150,8882
837482249356513284,4189,494
837471256429613056,13909,2611
837366284874571778,22964,5969
837110210464448512,17408,2718
837012587749474308,0,86
836989968035819520,13823,2598
836753516572119041,20944,5201
836677758902222849,13733,2511
836648853927522308,0,622
836397794269200385,0,31140
836380477523124226,15976,3321
836260088725786625,23100,4832
836001077879255040,20840,4901
835685285446955009,0,9272
835574547218894849,19379,4097
835536468978302976,0,1930
835309094223372289,0,23870
835297930240217089,17791,3368
835264098648616962,8467,1930
835246439529840640,2248,82
835172783151792128,28461,6493
835152434251116546,24478,3425
834931633769889797,11791,1872
834786237630337024,22874,6132
834574053763584002,14939,2868
